,all,pinch1,five,pinch2,grab,pinch3,three,ok,pinch4,nine,four,pinch5,love,point,tim,thumbUp,pinch,eight,pinky,six,ringPinky,zero,middleFinger,two,rock,fist,ring,middle,mean
mpe,2.1613181775029426,2.172350111078857,1.381964895040478,1.8659110688240481,2.7902702957711663,2.0171698535838156,1.7110879510532777,2.071117162267908,2.1009404869316914,2.1896593179518256,2.1278170798548266,2.4946805616544863,1.5516679449128168,2.183782875539517,1.5484254870421523,2.3428160676584944,2.096048292897895,1.9183025991932958,1.9720257868945106,2.401316331411814,2.2717076270363683,2.523246102009562,2.2151957191803495,2.5790451838869566,1.7528986225524397,3.077123473090857,2.346310938667282,2.3943859128285006,2.151750657363525
mid,1.7185535265477998,1.7721262588603306,1.152326440331198,1.5781204380509233,2.152493705419105,1.7417710708907568,1.4269249548279184,1.5898606333344545,1.8818832632416338,1.882888323294543,1.5794114284390528,1.8911620954052988,1.283215767085945,1.748548000261467,1.3172226801011362,1.9162105745976405,1.8018882033539885,1.6407323802573588,1.6868843811304894,1.8144213498118273,1.8195129662070737,2.1371184917122283,1.8363821289682942,2.070480540836477,1.4094002440776034,2.5547945913822305,2.043962652713187,2.1693887720733533,1.7740419383950194
auc,0.9567758741389198,0.9565719304849739,0.9723743155798904,0.9626901307356323,0.944170467979992,0.9596347499573307,0.965797767653663,0.9585874050040158,0.9579790140061788,0.9562001694754688,0.957459411367227,0.9501053045792476,0.9689744102803528,0.9563405253926285,0.9690476190476189,0.9531645513069662,0.9580828829336696,0.9616288494241251,0.9605918884940227,0.9519392323706655,0.9545976208935052,0.9495198476995974,0.955674516280577,0.9483944359219488,0.9649158538047428,0.9384628939084384,0.9530737332805975,0.9520919016236393,0.956965608499508
cls_acc,0.9270904594011472,0.7925465838509317,0.9651567944250871,0.9120992761116856,0.9267399267399268,0.9608294930875576,1.0,0.9109176155391828,0.9940577249575552,0.9651795429815017,0.969939879759519,0.9095378564405113,0.9310344827586207,0.802887633396108,0.9828767123287672,0.9789473684210527,0.0,0.8503937007874016,0.9963560645497137,0.773497688751926,0.9527252502780867,0.8856655290102389,0.9953379953379954,0.9735876742479824,0.9924924924924925,0.7390797903319744,0.998119417019276,0.9531737773152965,0.8930807507748293
1,2.208442456124899,2.0089948188140867,2.0124852945875684,1.8659846381762721,2.214717957462168,1.4691195744773264,1.7755168286921552,2.1014400514999894,1.9022875354724702,1.9068710278947816,2.3797555705779825,1.9956151008215726,1.8477373404682451,3.1380478250938952,1.537778913622861,3.3289748213733423,2.1302298725447986,2.3985080907543055,2.2408239598703337,2.4858008069787365,2.1041284647468177,2.2268327689542615,2.524846200615751,2.6755454757417345,1.7095079964795217,3.1262465803013963,2.138539124383662,1.6308677300233347,2.1806371989047912
2,2.1413174092693916,1.7817036250562022,1.7389460287117515,1.7727840690214838,3.212596177153615,1.4340399982230863,1.5161819823345395,2.107579998115547,1.9201144791076306,1.7624426917319809,2.7641646363823,1.9943280641559153,1.2814000275828075,2.413149716008631,1.3837930994537586,2.2301419884497253,2.069502601932672,1.7707246916288915,2.1029600616384787,2.015687652855242,2.375012127800238,2.519281894897769,2.1964889577921474,2.716156439148925,1.6206335615249314,3.678498888149851,2.5710543775710537,1.6481214689900094,2.096203307608118
3,2.099611763920812,1.6906240408826865,1.5389474590809848,1.834767544762601,2.757883575675285,2.3363804658766907,1.9827075780443966,2.0893498012037997,2.665833899584294,2.011071807299339,3.4889315827490504,2.3106372838005678,1.4331140212840474,2.0849359471650004,1.73710332506611,2.1454503297647003,1.8742022208277949,1.6476107164077642,1.8219758254620406,2.0648852736126098,1.9342978606988965,2.069221198736772,2.420758775330912,2.4406489291861155,1.6844411938778372,2.5340747873658196,2.507810988321732,1.7908961470047486,2.1073541695952813
4,1.942400376476946,1.530743266428747,1.4186323074115106,1.6360606136295825,2.3386484682852817,2.031987229100434,1.947634442518155,2.105316435558341,2.223793804625085,2.1576366681841805,3.1810118718878067,1.8476932383237576,1.3523243460627,1.8496000086216675,1.5069252027525362,1.7150279290274355,1.8346383365049024,1.1953768410972474,1.900878378662801,1.430728536490276,1.8225689859963272,2.1134696285834655,2.5286301885082616,2.370229566106393,1.724500139492964,2.748476834365686,2.0146143343434497,1.8351971495199335,1.93934610192922
5,1.8940159308605025,1.7337114942157774,1.061513181766755,1.6964020419287444,2.1979039342784423,1.9590425996259975,2.0484852592212905,1.7237522884735768,1.9578142369928822,1.9799089824955638,2.7889878353483217,1.671343945826656,1.2624018260036183,1.7953923137670984,1.2668576250381696,1.522206527243088,1.725488890419328,1.1693716265087974,1.9931313662310135,1.3661317928864138,1.9488474470688208,2.1705137691007055,2.1874760628457777,2.4887552424103245,1.846992437854729,2.8082717794561667,2.3293161716452864,1.7887614231129645,1.8699548926580116
6,2.0173928519858393,2.2507889545365694,1.7350517254921456,2.1664243820740503,2.445856708901925,1.8339930074316377,1.7008617122861447,1.8252099123338879,2.355757138611847,1.7829704613332746,2.112255466070534,2.6214246947091677,1.4558847148311485,1.7578264590768167,1.3871789917577526,2.096619962287824,2.19852682816175,1.5306553137442735,1.8035096516661109,1.7732444228130384,2.278878254820433,2.1082888397612964,2.1161812995191416,2.0740227744671142,1.4911527152009554,2.780664766994566,2.183834191335972,3.0855424017228366,2.0352816945163785
